published_at,decision,headline,source,urls,why_now,hook_suggested,cta_suggested
2025-09-25T00:30:17+00:00,DROP,Super Sete hoje: resultado do concurso 750 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/super-sete/noticia/2025/09/24/super-sete-hoje-resultado-do-concurso-750-e-numeros-sorteados.ghtml,relevância moderada,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599402+00:00,DROP,Palmeiras derruba River e chega à sua quinta semifinal em seis Libertadores,www1.folha.uol.com.br,https://www1.folha.uol.com.br/esporte/2025/09/palmeiras-derruba-river-e-chega-a-sua-quinta-semifinal-em-seis-libertadores.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599768+00:00,DROP,Quase 20% dos professores do ensino infantil não têm ensino superior completo,www1.folha.uol.com.br,https://www1.folha.uol.com.br/educacao/2025/09/quase-20-dos-professores-do-ensino-infantil-nao-tem-ensino-superior-completo.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:28:01+00:00,DROP,Ministro da Casa Civil diz que governo pode ir à Justiça contra preços abusivos em hotéis na COP em Belém,g1.globo.com,https://g1.globo.com/pa/para/noticia/2025/09/24/ministro-da-casa-civil-diz-que-governo-pode-ir-a-justica-contra-precos-abusivos-em-hoteis-na-cop-em-belem.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:26:55+00:00,DROP,Lei que autorizava enfermeiros a fazerem suturas simples é derrubada no Acre,g1.globo.com,https://g1.globo.com/ac/acre/noticia/2025/09/24/lei-que-autorizava-enfermeiros-a-fazerem-suturas-simples-e-derrubada-no-acre.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:50:12+00:00,DROP,Youtuber é preso em flagrante após troca de tiros com policiais e fazer companheira e filho de escudo em Feira de Santana,g1.globo.com,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2025/09/24/homem-e-preso-em-flagrante-apos-troca-de-tiros-com-policiais.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T02:34:51+00:00,DROP,"Nvidia's investment in OpenAI will be in cash, and most will be used to lease Nvidia chips",cnbc.com,https://www.cnbc.com/2025/09/24/nvidia-openai-investment-in-cash-mostly-used-to-lease-nvidia-chips.html,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:30:22+00:00,DROP,+Milionária hoje: resultado do concurso 288 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/milionaria/noticia/2025/09/24/milionaria-hoje-resultado-do-concurso-288-e-numeros-sorteados.ghtml,relevância moderada,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T02:34:32+00:00,DROP,Asia-Pacific markets trade mixed as investors sell tech names on Wall Street,cnbc.com,https://www.cnbc.com/2025/09/25/asia-markets.html,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:35:14+00:00,DROP,Dupla Sena hoje: resultado do concurso 2864 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/dupla-sena/noticia/2025/09/24/dupla-sena-hoje-resultado-do-concurso-2864-e-numeros-sorteados.ghtml,relevância moderada,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:37:03+00:00,DROP,"Mutirão 'Viva Unido' leva serviços gratuitos e atividades culturais nesta sexta ao Jabaquara, na Zona Sul de SP",g1.globo.com,https://g1.globo.com/sp/sao-paulo/noticia/2025/09/24/mutirao-viva-unido-leva-servicos-gratuitos-e-atividades-culturais-nesta-sexta-ao-jabaquara-na-zona-sul-de-sp.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:49:38+00:00,DROP,China's largest vehicle exporter Chery surges 11% in Hong Kong debut,cnbc.com,https://www.cnbc.com/2025/09/25/chinachinas-largest-vehicle-exporter-chery-surges-11percent-in-hong-kong-debut.html,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599312+00:00,DROP,Governo Trump troca foto de Biden por caneta automática na Casa Branca; veja vídeo,www1.folha.uol.com.br,https://www1.folha.uol.com.br/mundo/2025/09/governo-trump-troca-foto-de-biden-por-caneta-automatica-na-casa-branca-veja-video.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:51:37+00:00,DROP,"Na ONU, líderes mundiais debatem o futuro do clima no planeta",g1.globo.com,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/na-onu-lideres-mundiais-debatem-o-futuro-do-clima-no-planeta.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:39:29+00:00,DROP,Porta-voz do governo russo reage às críticas feitas por Trump e diz que a Rússia é um ‘urso’,g1.globo.com,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/porta-voz-do-governo-russo-reage-as-criticas-feitas-por-trump-e-diz-que-a-russia-e-um-urso.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:46:55+00:00,DROP,Ney Matogrosso grava o samba com o qual será homenageado pela Imperatriz Leopoldinense no Carnaval  de 2026,g1.globo.com,https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2025/09/24/ney-matogrosso-grava-o-samba-com-o-qual-sera-homenageado-pela-imperatriz-leopoldinense-no-carnaval-de-2026.ghtml,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:37:29+00:00,DROP,Quina hoje: resultado do concurso 6835 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/quina/noticia/2025/09/24/quina-hoje-resultado-do-concurso-6835-e-numeros-sorteados.ghtml,relevância moderada,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:30:09+00:00,DROP,"Ibama aprova simulado de emergência da Petrobras, e exploração na Foz do Amazonas avança",g1.globo.com,https://g1.globo.com/meio-ambiente/noticia/2025/09/24/ibama-aprova-simulado-de-emergencia-da-petrobras-e-exploracao-na-foz-do-amazonas-avanca.ghtml,tendência em redes/trends,Por que isso importa: petrobras,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:35:14+00:00,DROP,Lotofácil hoje: resultado do concurso 3495 e números sorteados,g1.globo.com,https://g1.globo.com/loterias/lotofacil/noticia/2025/09/24/lotofacil-hoje-resultado-do-concurso-3495-e-numeros-sorteados.ghtml,relevância moderada,Por que isso importa: resultado,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:14:45+00:00,DROP,Réveillon de Fortaleza: Prefeitura anuncia dois dias de festa no Aterro da Praia de Iracema e em outros polos,g1.globo.com,https://g1.globo.com/ce/ceara/noticia/2025/09/24/reveillon-de-fortaleza-prefeitura-anuncia-dois-dias-de-festa-no-aterro-da-praia-de-iracema-e-em-outros-polos.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599550+00:00,DROP,Agro quer financiamento climático para produtores rurais e lista demandas à COP30,www1.folha.uol.com.br,https://www1.folha.uol.com.br/ambiente/2025/09/agro-quer-financiamento-climatico-para-produtores-rurais-e-lista-demandas-a-cop30.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599658+00:00,DROP,'Uma Batalha Atrás da Outra' e musical 'Hamilton' chegam aos cinemas de São Paulo,guia.folha.uol.com.br,https://guia.folha.uol.com.br/cinema/2025/09/uma-batalha-atras-da-outra-e-musical-hamilton-chegam-aos-cinemas-de-sao-paulo.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:44:07+00:00,DROP,"Zelador foi rendido ao identificar ladrão de peruca no elevador de prédio alvo de arrastão em Ribeirão Preto, SP",g1.globo.com,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2025/09/24/zelador-foi-rendido-ao-identificar-ladrao-de-peruca-no-elevador-de-predio-alvo-de-arrastao-em-ribeirao-preto-sp.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:13:47+00:00,DROP,PEC da blindagem é barrada no Senado: como proposta foi derrotada,bbc.com,https://www.bbc.com/portuguese/articles/cqjewjqd5rqo?at_medium=RSS&at_campaign=rss,tendência em redes/trends,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599696+00:00,DROP,Menos alunos saem do ensino médio com aprendizado adequado em português e matemática,www1.folha.uol.com.br,https://www1.folha.uol.com.br/educacao/2025/09/menos-alunos-saem-do-ensino-medio-com-aprendizado-adequado-em-portugues-e-matematica.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-24T23:10:50+00:00,DROP,"'Jimmy Kimmel Live!' return draws 6.26 million viewers, ABC parent Disney says",cnbc.com,https://www.cnbc.com/2025/09/24/jimmy-kimmel-return-ratings-abc-disney.html,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599476+00:00,DROP,"Centrão vê 3º fracasso de PEC da Blindagem em 4 anos, dessa vez com Senado posando de bom-moço",www1.folha.uol.com.br,https://www1.folha.uol.com.br/poder/2025/09/centrao-ve-3o-fracasso-de-pec-da-blindagem-em-4-anos-dessa-vez-com-senado-posando-de-bom-moco.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T03:06:41.599513+00:00,DROP,"Reação popular à PEC da Blindagem surpreendeu centrão, dizem parlamentares",www1.folha.uol.com.br,https://www1.folha.uol.com.br/colunas/painel/2025/09/reacao-popular-a-pec-da-blindagem-surpreendeu-centrao-dizem-parlamentares.shtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T01:22:49+00:00,DROP,Drones suspeitos voltam a obrigar autoridades a fechar aeroporto na Dinamarca,g1.globo.com,https://g1.globo.com/mundo/noticia/2025/09/24/drones-suspeitos-voltam-a-obrigar-autoridades-a-fechar-aeroporto-na-dinamarca.ghtml,relevância moderada,Por que isso importa: impacto potencial na carteira e no planejamento.,Fale com a Angular para entender impactos no seu plano patrimonial.
2025-09-25T00:26:52+00:00,DROP,Trump diz que Serviço Secreto investiga “sabotagem” da escada rolante na ONU,infomoney.com.br,https://www.infomoney.com.br/mundo/trump-diz-que-servico-secreto-investiga-sabotagem-da-escada-rolante-na-onu/,fonte de alta autoridade,Por que isso importa: sec,Fale com a Angular para entender impactos no seu plano patrimonial.
